---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
SoAScan/280/1146880       57160 ns        57160 ns        12056
SoAScan/281/1150976       57133 ns        57132 ns        12076
SoAScan/282/1155072       56956 ns        56957 ns        12134
SoAScan/283/1159168       56984 ns        56984 ns        12172
SoAScan/284/1163264       57113 ns        57113 ns        12124
SoAScan/285/1167360       57342 ns        57341 ns        12135
SoAScan/286/1171456       57068 ns        57068 ns        12133
SoAScan/287/1175552       57391 ns        57390 ns        12096
SoAScan/288/1179648       56390 ns        56390 ns        12306
SoAScan/289/1183744       57465 ns        57464 ns        12124
SoAScan/290/1187840       57323 ns        57323 ns        12162
SoAScan/291/1191936       57416 ns        57416 ns        12039
SoAScan/292/1196032       57357 ns        57357 ns        12093
SoAScan/293/1200128       57184 ns        57184 ns        12132
SoAScan/294/1204224       57402 ns        57402 ns        12079
SoAScan/295/1208320       57410 ns        57410 ns        12082
SoAScan/296/1212416       57089 ns        57088 ns        12134
SoAScan/297/1216512       57721 ns        57722 ns        12051
SoAScan/298/1220608       57148 ns        57147 ns        12081
SoAScan/299/1224704       57479 ns        57479 ns        12094
SoAScan/300/1228800       57564 ns        57563 ns        12055
SoAScan/301/1232896       57225 ns        57225 ns        12049
SoAScan/302/1236992       57426 ns        57426 ns        11951
SoAScan/303/1241088       57547 ns        57547 ns        12080
SoAScan/304/1245184       57553 ns        57553 ns        11993
SoAScan/305/1249280       57552 ns        57552 ns        12052
SoAScan/306/1253376       57485 ns        57485 ns        12007
SoAScan/307/1257472       57730 ns        57730 ns        12026
SoAScan/308/1261568       57822 ns        57822 ns        11968
SoAScan/309/1265664       57855 ns        57855 ns        11990
SoAScan/310/1269760       57832 ns        57832 ns        11939
SoAScan/311/1273856       57598 ns        57598 ns        11996
SoAScan/312/1277952       57867 ns        57867 ns        11957
SoAScan/313/1282048       58460 ns        58454 ns        11955
SoAScan/314/1286144       57737 ns        57737 ns        11973
SoAScan/315/1290240       57786 ns        57786 ns        11992
SoAScan/316/1294336       57931 ns        57931 ns        11934
SoAScan/317/1298432       57995 ns        57995 ns        11932
SoAScan/318/1302528       58080 ns        58080 ns        12001
SoAScan/319/1306624       58234 ns        58234 ns        11880
SoAScan/320/1310720       60310 ns        60310 ns        10909
SoAScan/321/1314816       58190 ns        58190 ns        11920
SoAScan/322/1318912       58030 ns        58030 ns        11995
SoAScan/323/1323008       58050 ns        58048 ns        11945
SoAScan/324/1327104       58079 ns        58080 ns        11990
SoAScan/325/1331200       57981 ns        57981 ns        11916
SoAScan/326/1335296       58186 ns        58185 ns        11867
SoAScan/327/1339392       58189 ns        58189 ns        11868
SoAScan/328/1343488       57967 ns        57966 ns        11910
SoAScan/329/1347584       58207 ns        58207 ns        11903
SoAScan/330/1351680       58291 ns        58290 ns        11947
SoAScan/331/1355776       58046 ns        58046 ns        11897
SoAScan/332/1359872       57940 ns        57940 ns        11937
SoAScan/333/1363968       58148 ns        58146 ns        11865
SoAScan/334/1368064       58023 ns        58023 ns        11899
SoAScan/335/1372160       58131 ns        58131 ns        11868
SoAScan/336/1376256       57931 ns        57931 ns        11945
SoAScan/337/1380352       57890 ns        57890 ns        11860
SoAScan/338/1384448       57988 ns        57983 ns        11920
SoAScan/339/1388544       57936 ns        57936 ns        11851
SoAScan/340/1392640       58171 ns        58172 ns        11894
SoAScan/341/1396736       57907 ns        57907 ns        11899
SoAScan/342/1400832       57492 ns        57492 ns        11949
SoAScan/343/1404928       57900 ns        57898 ns        11920
SoAScan/344/1409024       57780 ns        57780 ns        11967
SoAScan/345/1413120       57822 ns        57823 ns        11944
SoAScan/346/1417216       57870 ns        57870 ns        11994
SoAScan/347/1421312       57849 ns        57849 ns        11943
SoAScan/348/1425408       58073 ns        58071 ns        12009
SoAScan/349/1429504       57885 ns        57885 ns        11036
SoAScan/350/1433600       57817 ns        57817 ns        11958
SoAScan/351/1437696       57896 ns        57896 ns        12035
SoAScan/352/1441792       57490 ns        57490 ns        12019
SoAScan/353/1445888       58107 ns        58105 ns        12004
SoAScan/354/1449984       57631 ns        57631 ns        11984
SoAScan/355/1454080       57772 ns        57772 ns        11889
SoAScan/356/1458176       57710 ns        57711 ns        12052
SoAScan/357/1462272       57669 ns        57669 ns        12039
SoAScan/358/1466368       57529 ns        57527 ns        12082
SoAScan/359/1470464       57425 ns        57425 ns        12029
SoAScan/360/1474560       57146 ns        57146 ns        12077
SoAScan/361/1478656       57018 ns        57019 ns        12095
SoAScan/362/1482752       57265 ns        57265 ns        12201
SoAScan/363/1486848       57231 ns        57229 ns        12105
SoAScan/364/1490944       57280 ns        57280 ns        12160
SoAScan/365/1495040       57103 ns        57103 ns        12098
SoAScan/366/1499136       56962 ns        56963 ns        12156
SoAScan/367/1503232       56875 ns        56875 ns        12176
SoAScan/368/1507328       56866 ns        56865 ns        12161
SoAScan/369/1511424       56863 ns        56863 ns        12113
SoAScan/370/1515520       57028 ns        57028 ns        12175
SoAScan/371/1519616       56927 ns        56927 ns        12167
SoAScan/372/1523712       56921 ns        56921 ns        12152
SoAScan/373/1527808       56887 ns        56886 ns        12188
SoAScan/374/1531904       57171 ns        57171 ns        12148
SoAScan/375/1536000       57013 ns        57013 ns        12212
SoAScan/376/1540096       57011 ns        57011 ns        12162
SoAScan/377/1544192       57025 ns        57024 ns        12220
