---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
AoSScan/277/1134592       47576 ns        47576 ns        14687
AoSScan/278/1138688       47615 ns        47614 ns        14728
AoSScan/279/1142784       47748 ns        47748 ns        14658
AoSScan/280/1146880       47838 ns        47838 ns        14600
AoSScan/281/1150976       47704 ns        47704 ns        14687
AoSScan/282/1155072       47756 ns        47756 ns        14626
AoSScan/283/1159168       47638 ns        47636 ns        14697
AoSScan/284/1163264       47818 ns        47817 ns        14676
AoSScan/285/1167360       48102 ns        48101 ns        14542
AoSScan/286/1171456       47662 ns        47662 ns        14677
AoSScan/287/1175552       47686 ns        47686 ns        14680
AoSScan/288/1179648       48427 ns        48428 ns        14307
AoSScan/289/1183744       47681 ns        47681 ns        14716
AoSScan/290/1187840       47684 ns        47683 ns        14662
AoSScan/291/1191936       47646 ns        47646 ns        14688
AoSScan/292/1196032       47677 ns        47677 ns        14696
AoSScan/293/1200128       47597 ns        47597 ns        14688
AoSScan/294/1204224       47717 ns        47717 ns        14705
AoSScan/295/1208320       47601 ns        47600 ns        14695
AoSScan/296/1212416       47856 ns        47856 ns        14633
AoSScan/297/1216512       47588 ns        47588 ns        14745
AoSScan/298/1220608       47550 ns        47550 ns        14690
AoSScan/299/1224704       47613 ns        47612 ns        14691
AoSScan/300/1228800       47761 ns        47759 ns        14674
AoSScan/301/1232896       47654 ns        47654 ns        14700
AoSScan/302/1236992       47650 ns        47650 ns        14701
AoSScan/303/1241088       47691 ns        47691 ns        14682
AoSScan/304/1245184       48216 ns        48215 ns        14500
AoSScan/305/1249280       47706 ns        47704 ns        14661
AoSScan/306/1253376       47681 ns        47680 ns        14683
AoSScan/307/1257472       47554 ns        47554 ns        14725
AoSScan/308/1261568       47769 ns        47769 ns        14677
AoSScan/309/1265664       47656 ns        47657 ns        14654
AoSScan/310/1269760       47694 ns        47691 ns        14705
AoSScan/311/1273856       47802 ns        47802 ns        14647
AoSScan/312/1277952       47995 ns        47995 ns        14614
AoSScan/313/1282048       47753 ns        47753 ns        14661
AoSScan/314/1286144       47780 ns        47780 ns        14627
AoSScan/315/1290240       47750 ns        47750 ns        14665
AoSScan/316/1294336       47855 ns        47854 ns        14657
AoSScan/317/1298432       47693 ns        47693 ns        14662
AoSScan/318/1302528       47789 ns        47789 ns        14634
AoSScan/319/1306624       47751 ns        47751 ns        14613
AoSScan/320/1310720       60583 ns        60583 ns         9532
AoSScan/321/1314816       47797 ns        47797 ns        14655
AoSScan/322/1318912       47761 ns        47761 ns        14642
AoSScan/323/1323008       47917 ns        47917 ns        14617
AoSScan/324/1327104       47806 ns        47806 ns        14672
AoSScan/325/1331200       47760 ns        47759 ns        14630
AoSScan/326/1335296       47767 ns        47767 ns        14664
AoSScan/327/1339392       47932 ns        47933 ns        14611
AoSScan/328/1343488       48018 ns        48018 ns        14559
AoSScan/329/1347584       47898 ns        47898 ns        14618
AoSScan/330/1351680       47817 ns        47816 ns        14622
AoSScan/331/1355776       47838 ns        47836 ns        14620
AoSScan/332/1359872       48051 ns        48051 ns        14606
AoSScan/333/1363968       47864 ns        47864 ns        14623
AoSScan/334/1368064       47762 ns        47762 ns        14631
AoSScan/335/1372160       47911 ns        47909 ns        14565
AoSScan/336/1376256       48486 ns        48487 ns        14475
AoSScan/337/1380352       47897 ns        47897 ns        14619
AoSScan/338/1384448       48474 ns        48474 ns        14613
AoSScan/339/1388544       48038 ns        48038 ns        14605
AoSScan/340/1392640       48007 ns        48006 ns        14578
AoSScan/341/1396736       47920 ns        47920 ns        14603
AoSScan/342/1400832       47830 ns        47830 ns        14636
AoSScan/343/1404928       47918 ns        47918 ns        14547
AoSScan/344/1409024       48079 ns        48077 ns        14528
AoSScan/345/1413120       47914 ns        47913 ns        14621
AoSScan/346/1417216       47981 ns        47979 ns        14622
AoSScan/347/1421312       47965 ns        47965 ns        14608
AoSScan/348/1425408       47985 ns        47984 ns        14576
AoSScan/349/1429504       47858 ns        47858 ns        14576
AoSScan/350/1433600       47917 ns        47915 ns        14609
AoSScan/351/1437696       47886 ns        47886 ns        14624
AoSScan/352/1441792       48442 ns        48442 ns        14408
AoSScan/353/1445888       47919 ns        47918 ns        14636
AoSScan/354/1449984       47824 ns        47824 ns        14618
AoSScan/355/1454080       48296 ns        48294 ns        13327
AoSScan/356/1458176       47824 ns        47824 ns        14615
AoSScan/357/1462272       47940 ns        47939 ns        14628
AoSScan/358/1466368       47824 ns        47824 ns        14622
AoSScan/359/1470464       47736 ns        47735 ns        14658
AoSScan/360/1474560       48045 ns        48044 ns        14536
AoSScan/361/1478656       47845 ns        47845 ns        14644
AoSScan/362/1482752       47685 ns        47685 ns        14692
AoSScan/363/1486848       47790 ns        47790 ns        14665
AoSScan/364/1490944       47727 ns        47727 ns        14658
AoSScan/365/1495040       47786 ns        47784 ns        14650
AoSScan/366/1499136       47734 ns        47734 ns        14655
AoSScan/367/1503232       47835 ns        47834 ns        14656
AoSScan/368/1507328       48376 ns        48376 ns        14506
AoSScan/369/1511424       47633 ns        47633 ns        14659
AoSScan/370/1515520       47713 ns        47712 ns        14671
AoSScan/371/1519616       47721 ns        47721 ns        14624
AoSScan/372/1523712       47834 ns        47834 ns        14645
AoSScan/373/1527808       47646 ns        47646 ns        14648
AoSScan/374/1531904       47770 ns        47769 ns        14625
AoSScan/375/1536000       47718 ns        47717 ns        14623
AoSScan/376/1540096       48081 ns        48081 ns        14580
AoSScan/377/1544192       47631 ns        47631 ns        14706
AoSScan/378/1548288       47585 ns        47585 ns        14708
AoSScan/379/1552384       47688 ns        47688 ns        14649
AoSScan/380/1556480       48143 ns        48142 ns        14663
AoSScan/381/1560576       47809 ns        47808 ns        14635
AoSScan/382/1564672       47644 ns        47644 ns        14702
AoSScan/383/1568768       47742 ns        47742 ns        14656
AoSScan/384/1572864      112712 ns       112709 ns         4650
AoSScan/385/1576960       47666 ns        47664 ns        14679
AoSScan/386/1581056       47639 ns        47639 ns        14683
AoSScan/387/1585152       47755 ns        47755 ns        14707
AoSScan/388/1589248       47623 ns        47623 ns        14677
AoSScan/389/1593344       47668 ns        47668 ns        14687
AoSScan/390/1597440       47675 ns        47674 ns        14643
AoSScan/391/1601536       47585 ns        47584 ns        14688
AoSScan/392/1605632       48018 ns        48019 ns        14583
AoSScan/393/1609728       47684 ns        47684 ns        14642
AoSScan/394/1613824       47607 ns        47607 ns        14706
AoSScan/395/1617920       47735 ns        47735 ns        14633
AoSScan/396/1622016       47836 ns        47834 ns        14611
AoSScan/397/1626112       47736 ns        47735 ns        14676
AoSScan/398/1630208       47633 ns        47633 ns        14689
AoSScan/399/1634304       48161 ns        48162 ns        14558
AoSScan/400/1638400       49735 ns        49735 ns        14142
AoSScan/401/1642496       49228 ns        49228 ns        14212
AoSScan/402/1646592       49271 ns        49271 ns        14251
AoSScan/403/1650688       49124 ns        49124 ns        14252
AoSScan/404/1654784       49172 ns        49172 ns        14176
AoSScan/405/1658880       49154 ns        49153 ns        14260
AoSScan/406/1662976       49148 ns        49147 ns        14218
AoSScan/407/1667072       49345 ns        49345 ns        14215
AoSScan/408/1671168       49451 ns        49451 ns        14184
AoSScan/409/1675264       49275 ns        49275 ns        14176
AoSScan/410/1679360       49239 ns        49237 ns        14222
AoSScan/411/1683456       49259 ns        49259 ns        14210
AoSScan/412/1687552       49269 ns        49267 ns        14195
AoSScan/413/1691648       49243 ns        49243 ns        14223
AoSScan/414/1695744       49186 ns        49185 ns        14207
AoSScan/415/1699840       49118 ns        49118 ns        14188
AoSScan/416/1703936       49713 ns        49713 ns        14030
AoSScan/417/1708032       49294 ns        49294 ns        14183
AoSScan/418/1712128       50014 ns        50013 ns        14243
AoSScan/419/1716224       49283 ns        49283 ns        14107
AoSScan/420/1720320       49297 ns        49296 ns        14221
AoSScan/421/1724416       49234 ns        49233 ns        14209
AoSScan/422/1728512       49213 ns        49211 ns        14203
AoSScan/423/1732608       49226 ns        49225 ns        14217
AoSScan/424/1736704       49658 ns        49658 ns        14121
AoSScan/425/1740800       49249 ns        49248 ns        14204
AoSScan/426/1744896       49318 ns        49317 ns        14195
AoSScan/427/1748992       49364 ns        49363 ns        14190
AoSScan/428/1753088       49397 ns        49395 ns        14205
AoSScan/429/1757184       49358 ns        49357 ns        14191
AoSScan/430/1761280       49299 ns        49299 ns        14201
AoSScan/431/1765376       49299 ns        49298 ns        14180
AoSScan/432/1769472       49569 ns        49568 ns        14128
AoSScan/433/1773568       49299 ns        49298 ns        14216
AoSScan/434/1777664       49522 ns        49521 ns        14152
AoSScan/435/1781760       49357 ns        49356 ns        14180
AoSScan/436/1785856       49486 ns        49485 ns        14161
AoSScan/437/1789952       49362 ns        49362 ns        14168
AoSScan/438/1794048       49368 ns        49368 ns        14173
AoSScan/439/1798144       49304 ns        49302 ns        14191
AoSScan/440/1802240       49823 ns        49823 ns        13981
AoSScan/441/1806336       49320 ns        49320 ns        14187
AoSScan/442/1810432       49423 ns        49423 ns        14203
AoSScan/443/1814528       49403 ns        49403 ns        14207
AoSScan/444/1818624       49552 ns        49551 ns        14149
AoSScan/445/1822720       49326 ns        49326 ns        14198
AoSScan/446/1826816       49416 ns        49416 ns        14163
